word	phonetic	meaning_cn	category	bnc_rank	frq_rank	wordfreq_zipf	exchange_info	data_quality	example_sentence
most	mәust	n. 最多, 最大\na. 大多数的, 几乎全部的, 最多的\nadv. 最, 最多, 极其	n.	153	144			ecdict_complete	
music	'mju:zik	n. 音乐, 乐曲	n.	667	392		s:musics	ecdict_complete	
buy	bai	vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西	vt.	351	397		p:bought/i:buying/d:bought/3:buys/s:buys	ecdict_complete	
data	'deitә	pl. 资料, 数据\n[计] 数据 / DOS内部命令:用于显示或设定系统的日期	pl.	552	559			ecdict_complete	
make	meik	vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情	vt.	43	45		d:made/p:made/i:making/3:makes	ecdict_complete	
them	ðem	pron. 他们, 她们, 它们	pron.	46212	59		s:thems	ecdict_complete	
should	ʃud	aux. 应该, 将要	aux.	85	121			ecdict_complete	
product	'prɒdʌkt	n. 产品, 结果, 乘积\n[化] 生产物	n.	451	569		s:products	ecdict_complete	
system	'sistәm	n. 系统, 体系, 制度, 方式, 秩序, 分类原则\n[计] 系统 / 体制 / 体系	n.	136	191		s:systems	ecdict_complete	
post	pәust	n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营\nvt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置\nvi. 快速行进\nadv. 急速地\n[计] 记入 / 登记, 上电自检	n.	895	2148		s:posts/d:posted/p:posted/i:posting/3:posts	ecdict_complete	
her	hә:	pron. 她的, 她	pron.	42	42		i:hering	ecdict_complete	
city	'siti	n. 城市, 市\n[法] 都市, 城市, 市	n.	331	290		s:cities	ecdict_complete	
add	æd	vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法	vt.	330	340		p:added/d:added/i:adding/3:adds	ecdict_complete	
policy	'pɒlisi	n. 政策, 方针, 策略, 保险单\n[医] 凭单, 保险单	n.	250	388		s:policies	ecdict_complete	
number	'nʌmbә	n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字	n.	143	204		s:numbers/d:numbered/p:numbered/i:numbering/0:numb/1:r/3:numbs	ecdict_complete	
such	sʌtʃ	a. 如此的, 这样的	a.	108	183			ecdict_complete	
please	pli:z	adv. 请\nvt. 使高兴, 合...的心意, 取悦\nvi. 使人满意, 讨好, 愿意, 敬请	adv.	758	1167		p:pleased/3:pleases/d:pleased/i:pleasing	ecdict_complete	
available	ә'veilәbl	a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的	a.	334	622			ecdict_complete	
copyright	'kɒpirait	n. 版权, 著作权\n[法] 著作权	n.	5493	6066		s:copyrights/i:copyrighting/p:copyrighted/3:copyrights/d:copyrighted	ecdict_complete	
support	sә'pɒ:t	n. 支持, 支撑, 援助, 供养, 支撑物\nvt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实\n[计] 后援 / 支持	n.	481	524		d:supported/i:supporting/3:supports/p:supported/s:supports	ecdict_complete	
message	'mesidʒ	n. 消息, 通讯, 讯息, 教训, 预言, 广告词\nvt. 通知\nvi. 通报, 报告, 报信\n[计] 报文 / 消息 / 信息	n.	1120	807		s:messages/i:messaging/p:messaged/3:messages/d:messaged	ecdict_complete	
after	'ɑ:ftә	prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来	prep.	96	120			ecdict_complete	
best	best	a. 最好的\nadv. 最好地\nn. 最好的人	a.	1212	309		0:good/1:t/r:best/3:bests/d:bested/i:besting/p:bested	ecdict_complete	
software	'sɒftwєә	n. 软件\n[计] 软设备	n.	1064	1577			ecdict_complete	
then	ðen	adv. 然后, 当时\nconj. 然后, 当时\nn. 那时	adv.	59	77			ecdict_complete	
jan	dʒæn	n. 一月	n.	2032	0			ecdict_complete	
good	gud	n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的	n.	73	110		t:best/r:better	ecdict_complete	
video	'vidiәu	n. 影像, 电视\na. 图像的, 电视的	n.	1271	1109		s:videos/i:videoing	ecdict_complete	
well	wel	n. 井, 泉水, 源泉, 好\nv. 涌出\na. 健康的, 良好的, 适宜的, 恰当的\nadv. 很好地, 适当地, 好意地, 很, 完全\ninterj. 好啦	n.	84	100		s:wells/i:welling/p:welled/3:wells/d:welled	ecdict_complete	
where	hwєә	adv. 在哪里\npron. 哪里\nn. 地点	adv.	131	169			ecdict_complete	
info	'infәu	n. 信息\n[计] 信息	n.	15801	10751			ecdict_complete	
public	'pʌblik	n. 公众, 民众\na. 公众的, 公共的, 公立的, 公用的	n.	319	333			ecdict_complete	
high	hai	n. 高度, 高处\na. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的\nadv. 高度地, 奢侈地	n.	152	141		r:higher/t:highest/s:highs	ecdict_complete	
school	sku:l	n. 学校, 鱼群, 门派, 学派\nvt. 教育, 训练, 培养\nvi. 成群地游	n.	165	125		s:schools/i:schooling/d:schooled/p:schooled/3:schools	ecdict_complete	
through	θru:	adv. 穿越, 从头至尾, 到底, 因为\nprep. 经过, 穿过\na. 对穿的, 直达的, 完结的	adv.	109	112			ecdict_complete	
each	i:tʃ	a. 每个, 每一\nadv. 每个\npron. 每个, 个人, 各自	a.	170	192			ecdict_complete	
links	liŋks	n. 高尔夫球场	n.	40605	0		0:link/1:s3	ecdict_complete	
she	ʃi:	pron. 她	pron.	21	31			ecdict_complete	
review	ri'vju:	n. 检讨, 复习, 回顾, 检阅, 评论\nvt. 温习, 检讨, 评论, 再检察, 复审\nvi. 复习功课, 写评论	n.	1128	1384		d:reviewed/s:reviews/i:reviewing/p:reviewed/3:reviews	ecdict_complete	
order	'ɒ:dә	n. 次序, 规则, 命令\nvi. 命令, 定货\nvt. 整理, 命令, 定购\nn. 顺序, 阶数\n[计] 顺序, 阶数	n.	368	684		s:orders/d:ordered/p:ordered/i:ordering/3:orders	ecdict_complete	
very	'veri	a. 真正的, 恰好的, 十足的, 特有的\nadv. 非常, 完全	a.	80	105			ecdict_complete	
privacy	'praivәsi	n. 隐私, 隐居, 秘密\n[计] 个人保密权	n.	5243	3060		s:privacies	ecdict_complete	
book	buk	n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿	n.	235	241		s:books/d:booked/p:booked/i:booking/3:books	ecdict_complete	
company	'kʌmpәni	n. 公司, 友伴, 交往, 连队, 朋友, 一群\nvt. 陪伴\nvi. 交往	n.	151	189		s:companies/i:companying/p:companied/3:companies/d:companied	ecdict_complete	
read	ri:d	v. 读, 阅读, 理解\na. 有学问的\nn. 读取, 阅读\n[计] 读取	v.	322	337		d:read/0:read/1:dp/i:reading/p:read/3:reads	ecdict_complete	
group	gru:p	n. 团体, 组, 团, 群\nv. 聚合, 成群\n[计] 创建组 / 组, 用户组	n.	142	163		s:groups/d:grouped/p:grouped/i:grouping/3:groups	ecdict_complete	
sex	seks	n. 性别, 性欲\nvt. 区别...的性别, 引起...的性欲	n.	1105	814		s:sexes/i:sexing/p:sexed/3:sexes/d:sexed	ecdict_complete	
need	ni:d	n. 需要, 必须, 缺乏\nvt. 需要, 必需\nvi. 贫困, 有必要\naux. 需要	n.	132	132		s:needs/3:needs/d:needed/p:needed/i:needing	ecdict_complete	
many	'meni	n. 多数, 多数人\na. 许多的\npron. 许多	n.	98	99			ecdict_complete	
user	'ju:zә	n. 使用者\n[计] 用户	n.	806	1813		s:users	ecdict_complete	
said	sed	a. 上述的\nsay的过去式和过去分词	a.	7598	9053		0:say/1:pd/p:said/d:said/3:saids	ecdict_complete	
does	dʌz; dәz	v. 做；工作；有用（do的第三人称单数形式）	v.	0	0		0:doe/1:s	ecdict_complete	
set	set	n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的\n[计] 设置 / DOS内部命令:改变或显示分配给环境变量的值	n.	213	294		d:set/0:set/1:dp/p:set/i:setting/s:sets/3:sets	ecdict_complete	
under	'ʌndә	prep. 在...之下, 低于\na. 下面的, 从属的\nadv. 在下面	prep.	158	225			ecdict_complete	
general	'dʒenәrәl	n. 一般, 将军, 大体\na. 全面的, 大体的, 总的, 一般的, 普遍的\nn. 常规\n[计] 常规	n.	301	804		s:generals	ecdict_complete	
research	ri'sә:tʃ	n. 研究, 调查, 考察\nvi. 研究, 调查	n.	357	362		i:researching/d:researched/s:researches/p:researched/3:researches	ecdict_complete	
university	.ju:ni'vә:siti	n. 大学	n.	530	1106		s:universities	ecdict_complete	
january	'dʒænjuәri	n. 一月	n.	984	0			ecdict_complete	
mail	meil	n. 邮件, 邮政, 邮递, 盔甲\nvt. 邮寄, 给...穿盔甲\n[计] 邮件	n.	2485	2508		d:mailed/s:mails/i:mailing/p:mailed/3:mails	ecdict_complete	
full	ful	n. 全部, 完整\na. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的\nadv. 完全地, 整整, 十分\nvt. 把(衣服等)缝得宽松, 漂洗\n[计] 完整	n.	309	503		r:fuller/t:fullest	ecdict_complete	
map	mæp	n. 地图, 天体图, 映像\nvt. 映射, 绘制...地图, 计划\n[计] 实用程序, 映射, 制造自动化协议	n.	1681	1542		s:maps/d:mapped/i:mapping/p:mapped/3:maps	ecdict_complete	
program	'prәugræm	n. 节目, 节目单, 程序, 纲要, 大纲, 计划\nvt. 规划, 拟...计划\nvi. 安排节目, 编程序\n[计] 程序	n.	1660	194		s:programs/i:programming/p:programmed/3:programs/d:programmed	ecdict_complete	
life	laif	n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑\n[医] 生活, 生存, 生命, 寿命	n.	128	114		s:lives	ecdict_complete	
know	nәu	v. 知道, 了解, 认识, 确信	v.	49	47		p:knew/d:known/3:knows/i:knowing	ecdict_complete	
way	wei	n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面\nadv. 远远地, 非常	n.	86	84		s:ways	ecdict_complete	
days	deiz	n. 一生, 时期\nadv. 每天, 在白天	n.	0	0		0:day/1:s	ecdict_complete	
management	'mænidʒmәnt	n. 经营, 支配, 管理\n[化] 管理处	n.	446	906		s:managements	ecdict_complete	
part	pɑ:t	n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位\nvt. 分开, 分离, 断绝, 区别, 分配\nvi. 分开, 断裂, 分手\na. 部分的, 局部的\nadv. 部分地, 有些	n.	140	178		s:parts/d:parted/p:parted/i:parting/3:parts	ecdict_complete	
could	kud	aux. 可以, 能	aux.	55	71			ecdict_complete	
great	greit	a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的\nadv. 顺利地, 得意地\nn. 全部, 大人物, 大师	a.	129	160		r:greater/t:greatest/s:greats	ecdict_complete	
united	ju:'naitid	a. 联合的, 团结的, 一致的, 和睦的\n[法] 联合的, 统一的, 一致的	a.	873	1460		d:united/0:united/1:dp/p:united	ecdict_complete	
hotel	hәu'tel	n. 旅馆, 客栈	n.	731	1002		s:hotels	ecdict_complete	
real	'riәl	a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的\nn. 实数, 现实\nadv. 真正地	a.	425	305			ecdict_complete	
item	'aitәm	n. 项目, 条款, 一则, 项\n[计] 项	n.	950	1031		s:items	ecdict_complete	
international	.intә'næʃәnәl	a. 国际的\nn. 国别设定\n[计] 国别设定	a.	435	500		s:internationals	ecdict_complete	
